                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54745,                0.50831,                0.90978,                0.88195,                 0.9676,                0.53935,                0.95438,                 0.8232,                 0.9676,                0.53935,                0.95438,                0.87202,                0.55953,                0.63327,                 1.6283,                0.82314,              0.0010212,              0.0010212,              0.0010212
                     36,                0.60356,                0.54856,                0.86842,                0.87363,                 0.9587,                0.52903,                0.90057,                0.77633,                 0.9587,                0.52903,                0.90057,                0.80554,                0.60996,                0.73172,                 1.6538,                0.83165,              0.0010469,              0.0010469,              0.0010469
                     37,                0.61477,                0.69884,                0.79119,                0.85884,                 0.9587,                0.52903,                0.90057,                0.77633,                 0.9587,                0.52903,                0.90057,                0.80554,                0.60996,                0.73172,                 1.6538,                0.83165,              0.0010723,              0.0010723,              0.0010723
                     38,                0.59133,                0.53345,                 0.8435,                0.86428,                0.90971,                0.51932,                 0.8959,                0.75878,                0.90971,                0.51932,                 0.8959,                0.80341,                0.61423,                0.68975,                 1.5961,                0.82902,              0.0010976,              0.0010976,              0.0010976
                     39,                0.58917,                0.57961,                0.79487,                0.85051,                0.96001,                0.65527,                0.93029,                0.81902,                0.96001,                0.65527,                0.93029,                0.84105,                0.54398,                0.64883,                 1.5713,                0.81687,              0.0011226,              0.0011226,              0.0011226
                     40,                 0.5511,                0.62777,                0.77574,                0.85544,                0.96001,                0.65527,                0.93029,                0.81902,                0.96001,                0.65527,                0.93029,                0.84105,                0.54398,                0.64883,                 1.5713,                0.81687,              0.0011474,              0.0011474,              0.0011474
                     41,                 0.5573,                0.57089,                0.84874,                0.86114,                0.97612,                0.71152,                0.93113,                 0.8112,                0.97612,                0.71152,                0.93113,                0.84221,                0.57652,                0.69059,                 1.6104,                0.84068,               0.001172,               0.001172,               0.001172
                     42,                0.54071,                0.57295,                0.81634,                0.84912,                0.97227,                0.55408,                0.86826,                0.77337,                0.97227,                0.55408,                0.87323,                0.79869,                0.54641,                0.74408,                 1.5907,                0.83529,              0.0011964,              0.0011964,              0.0011964
                     43,                0.57122,                0.65529,                0.78338,                0.85416,                0.97227,                0.55408,                0.86826,                0.77337,                0.97227,                0.55408,                0.87323,                0.79869,                0.54641,                0.74408,                 1.5907,                0.83529,              0.0012206,              0.0012206,              0.0012206
                     44,                0.60161,                 0.6797,                0.78726,                0.88193,                0.97648,                0.53111,                0.86693,                0.78623,                0.97648,                0.53111,                0.86693,                0.80826,                0.51514,                0.67934,                 1.5692,                0.83181,              0.0012445,              0.0012445,              0.0012445
