                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.7715,                  1.118,                 1.1791,                0.90633,                0.75597,                0.86432,                 0.3772,                 1.7611,                0.97476,                 1.0869,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.7216,                 1.0408,                 1.1862,                0.80326,                0.76562,                0.82574,                 0.3512,                 1.7208,                 1.0058,                 1.0816,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.7542,                 1.0577,                 1.1901,                0.79637,                 0.8125,                0.81779,                0.37244,                 1.7238,                 1.0033,                  1.108,               0.001604,               0.001604,               0.001604
                     62,                  1.747,                 1.0664,                 1.1838,                0.81282,                0.74639,                0.81101,                0.36955,                 1.7609,                 1.0354,                 1.0985,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.7588,                 1.0544,                 1.1698,                 0.7667,                0.76562,                0.81891,                0.33974,                 1.7784,                0.99891,                 1.1232,              0.0015908,              0.0015908,              0.0015908
                     64,                  1.696,                 1.0808,                 1.1626,                0.71034,                0.64062,                0.70011,                0.29428,                 1.8391,                 1.1357,                 1.1245,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.7491,                 1.0561,                 1.1992,                 0.8859,                0.71875,                0.85771,                0.40378,                 1.7324,                0.97033,                 1.0897,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.7263,                 1.0201,                 1.2221,                0.77272,                0.76562,                0.81984,                0.41595,                 1.7057,                 1.0468,                 1.0671,               0.001571,               0.001571,               0.001571
                     67,                  1.667,                 1.0078,                 1.1865,                0.86764,                0.81947,                0.87957,                0.39641,                 1.7312,                0.97188,                 1.0875,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.8021,                 1.0495,                 1.2321,                0.80199,                   0.75,                0.79352,                 0.3396,                 1.7353,                  1.057,                 1.1089,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.6218,                 1.0331,                 1.1796,                0.83342,                0.82812,                0.87126,                 0.3815,                 1.7053,                0.97527,                 1.0984,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.7614,                 1.0285,                 1.2122,                0.83272,                 0.8125,                0.86872,                 0.3596,                 1.7791,                 1.0206,                 1.0979,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.6717,                0.99568,                 1.1276,                0.71667,                   0.75,                0.68412,                0.27313,                 1.7927,                 1.1388,                 1.1048,               0.001538,               0.001538,               0.001538
